Ubicación,Superficie (km²),Profundidad máxima (m),Profundidad media (m),Coordenadas,Nombre
Santa Cruz,1435,500.0,,-50.248 / -72.645,Lago Argentino
Santa Cruz,1166,,,-49.624 / -72.495,Lago Viedma
Río Negro / Neuquén,540,464.0,,-40.854 / -71.616,Lago Nahuel Huapi
Chubut,427,39.0,,-45.415 / -69.198,Lago Musters
Santa Cruz,358,,,-48.917 / -71.215,Lago Cardiel
Buenos Aires,156,11.0,,-37.129 / -62.865,Lago Epecuén
Río Negro,116,,,-38.707 / -67.973,Lago Pellegrini
Santa Cruz,100,,,-48.433 / -71.190,Lago Strobel
Chubut,84,,,-44.921 / -71.496,Lago Fontana
Neuquén,84,,,-39.774 / -71.509,Lago Huechulafquen
Neuquén,78,,,-40.631 / -71.415,Lago Traful
Chubut,73,,,-44.859 / -71.820,Lago La Plata
Santa Cruz,65,,,-47.288 / -71.530,Lago Ghío
Chubut,58,287.0,,-42.691 / -71.862,Lago Menéndez
Neuquén,58,165.0,,-38.922 / -71.126,Lago Aluminé
Neuquén,53,277.0,,-40.163 / -71.436,Lago Lácar
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",49,,,-54.412 / -67.715,Lago Yehuin
Santa Cruz,47,,,-48.417 / -71.551,Lago Quiroga
Chubut,47,180.0,,-42.151 / -71.650,Lago Puelo
Santa Cruz,42,,,-47.979 / -72.353,Lago Nansen
Santa Cruz,42,,,-47.844 / -72.143,Lago Belgrano
Chubut,42,168.0,,-42.828 / -71.675,Lago Futalaufquen
Santa Cruz,41,,,-47.494 / -71.832,Lago Posadas
Neuquén,40,,,-40.676 / -71.711,Lago Espejo
Río Negro,39,218.0,,-41.346 / -71.548,Lago Mascardi
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",38,,,-54.395 / -67.593,Lago Chepelmut
Santa Cruz,37,,,-47.500 / -71.613,Lago Salitroso o Sucio
Neuquén,37,,,-40.036 / -71.536,Lago Lolog
Santa Cruz,30,,,-49.228 / -72.017,Lago Tar
Neuquén,29,,,-39.526 / -71.448,Lago Tromen
Chubut,28,,,-45.888 / -71.224,Lago Blanco
Neuquén,26,,,-39.411 / -71.314,Lago Quillén
Santa Cruz,23,,,-47.863 / -71.470,Lago Asador o Guitarra
Chubut,23,147.0,,-42.611 / -71.666,Lago Rivadavia
Neuquén,21,,,-38.904 / -71.274,Lago Moquehue
Neuquén,20,,,-40.702 / -71.660,Lago Correntoso
Chubut,20,,,-45.594 / -68.548,Lago Río Chico
Santa Cruz,20,,,-48.499 / -71.585,Lago Quiroga Chico
Chubut,17,148.0,,-42.188 / -71.507,Lago Epuyén
Río Negro,17,111.0,,-41.208 / -71.420,Lago Gutiérrez
Chubut,17,108.0,,-42.459 / -71.669,Lago Cholila
Neuquén,16,,,-39.724 / -71.584,Lago Paimún
Santa Cruz,16,,,-47.846 / -72.270,Lago Azara
Santa Cruz,14,,,-47.956 / -72.203,Lago Burmeister
Santa Cruz,14,,,-50.108 / -73.350,Lago Onelli
Neuquén,14,,,-40.333 / -71.319,Lago Meliquina
Río Negro,12,,,-41.066 / -71.541,Lago Perito Moreno
Neuquén,12,,,-39.840 / -71.507,Lago Currhué
Neuquén,11,,,-40.485 / -71.476,Lago Falkner
Chubut,10,,,-44.242 / -71.502,Lago Pico Nº 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",10,,,-54.689 / -65.806,Lago Río Bueno
Chubut,10,57.0,,-43.260 / -71.347,Lago Rosario
Santa Cruz,843,,,-46.435 / -71.714,Lago Buenos Aires
Santa Cruz,537,,,-48.896 / -72.698,Lago San Martín
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",533,,,-54.565 / -67.890,Lago Fagnano
Santa Cruz,125,,,-47.357 / -71.931,Lago Pueyrredón
Chubut,96,,,-43.931 / -71.535,Lago General Vintter
