Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Action, Adventure, Science Fiction",en,2021-12-15,8.3,separate;spider-man;unmasked,Spider-Man: No Way Home
"Crime, Mystery, Thriller",en,2022-03-01,8.1,gotham;known;riddler,The Batman
"Thriller",en,2022-02-25,6.3,terrifying;discovers;mountains,No Exit
"Animation, Comedy, Family, Fantasy",en,2021-11-24,7.7,gift;charmed;extraordinary,Encanto
"Action, Adventure, Thriller, War",en,2021-12-22,7.0,stop;worst;history's,The King's Man
"Action, Crime, Thriller",en,2022-01-07,6.6,danger;released;money,The Commando
"Horror, Mystery, Thriller",en,2022-01-12,6.8,killer;deadly;resurrect,Scream
"Thriller",en,2022-02-10,6.3,justice;tries;seeking,Kimi
"Action, Crime, Fantasy",en,2022-02-17,5.3,ancient;killer;superpowered,Fistful of Vengeance
"Science Fiction",en,2021-11-03,7.2,reunite;tragedy;forced,Eternals
"Action, Crime, Thriller",en,2022-02-18,5.9,prisoner;cartel;explosive,Pursuit
"Animation, Action, Fantasy, Adventure",ja,2021-08-06,7.3,states;team;generations,My Hero Academia: World Heroes' Mission
"Action, Thriller, Crime",fr,2022-02-25,5.9,receiving;threats;going,Restless
"Crime, Drama, Thriller",en,2021-12-02,7.1,people;manipulating;dangerous,Nightmare Alley
"Animation, Comedy, Adventure, Family",en,2022-01-28,7.1,adventure;one-eyed;possum,The Ice Age Adventures of Buck Wild
"Animation, Family, Fantasy, Comedy, Adventure",en,2022-02-25,7.0,bodies;johnny;across,Hotel Transylvania: Transformania
"Horror",en,2022-02-18,5.1,texas;ghost;infamous,Texas Chainsaw Massacre
"Thriller",en,2022-01-28,4.6,sea;themselves;storm,The Requin
"Action, Comedy, Crime",hi,2022-02-04,6.0,break;day;clock,Looop Lapeta
"Action, Comedy, Crime, Thriller",en,2021-11-04,6.8,brings;telling;top,Red Notice
"Animation, Comedy, Family, Music",en,2021-12-01,8.2,show;ruthless;offices,Sing 2
"Horror",en,2022-01-03,5.4,deal;helping;within,The Jack in the Box: Awakening
"Science Fiction, Action, Adventure",en,2021-09-30,7.1,symbiote;reporter;face,Venom: Let There Be Carnage
"Science Fiction, Action, Adventure",en,2021-12-16,6.8,inside;strange;neo's,The Matrix Resurrections
"Horror, Action, Science Fiction",en,2021-11-24,6.1,below;forever…changed…and;giant,Resident Evil: Welcome to Raccoon City
"Action, Thriller",en,2021-10-19,6.3,cast;wilderness;wounded,Last Man Down
"Action, Thriller, Crime, Drama",en,2022-01-07,5.4,thieves;contend;georgia,American Siege
"Action, Adventure",en,2022-02-10,7.1,lead;long-lost;sullivan,Uncharted
"Animation, Action, Adventure, Fantasy",ja,2020-10-16,8.4,kamado;demon;oppose,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train
"Fantasy, Comedy, Adventure",en,2021-11-11,7.7,single;grandfather;connection,Ghostbusters: Afterlife
"Action, Thriller",en,2022-01-05,6.1,agents;drawn;deadly,The 355
"Action, Adventure, Fantasy",en,2021-09-01,7.7,confront;ten;organization,Shang-Chi and the Legend of the Ten Rings
"Romance, Comedy, Music",en,2022-02-09,6.9,learns;audience;marry,Marry Me
"Horror",en,2022-01-21,5.8,disturbing;detective;attack,The Hunting
"Drama, Romance, Crime",en,2021-12-08,7.4,tensions;rival;respective,West Side Story
"Romance, Drama",es,2022-02-04,7.8,feelings;objections;family's,Through My Window
"Animation, Fantasy",ja,2021-07-02,8.0,races;four;rebels,The Seven Deadly Sins: Cursed by Light
"Action",en,2021-11-05,6.8,squad;trying;site,One Shot
"Animation, Comedy, Family, Western",en,2022-01-24,7.1,nephews;tom;jerry’s,Tom and Jerry: Cowboy Up!
"Drama, History, Adventure",ru,2020-10-15,6.2,hundreds;exclusion;power,Chernobyl: Abyss
"Western, Action",en,2022-02-25,6.8,billy;card-game;escape,Desperate Riders
"Family, Adventure, Comedy, Fantasy",en,2021-11-10,7.3,uncle;emily;genetics,Clifford the Big Red Dog
"Comedy",en,2022-02-25,6.7,any;madea's;putting,Tyler Perry's A Madea Homecoming
"Animation, Comedy, Adventure, Family",en,2021-07-01,7.6,tim;boss;again,The Boss Baby: Family Business
"Animation, Family, Comedy, Fantasy",en,2022-03-10,8.6,twist;awkwardness;too,Turning Red
"Thriller, Mystery, Drama",en,2022-01-13,4.8,every;solve;grace,Brazen
"Animation, Drama, Comedy, Horror",en,2022-01-14,7.1,anxious;poor;same,The House
"Action, Thriller",en,2022-02-10,5.1,echelons;shadowy;specializes,Blacklight
"Animation, Science Fiction, Family, Comedy",en,2021-10-15,8.1,quite;robot;11-year-old,Ron's Gone Wrong
"Comedy, Action, Adventure, Science Fiction",en,2021-08-11,7.7,go;open;background,Free Guy
"Comedy, Crime",en,2021-05-26,8.2,determined;rock;thieves,Cruella
"Action, Adventure, Fantasy",en,2021-07-28,7.7,island;belle;maltese,The Suicide Squad
"Animation, Comedy, Fantasy",en,2021-11-12,6.6,springfield's;homer;across,The Simpsons in Plusaversary
"Drama, War",en,2022-01-17,6.3,disabilities;murder;decision,Forgive Us Our Trespasses
"Animation, Comedy, Family, Fantasy",en,2021-06-17,8.0,friend;riviera;below,Luca
"Action, Fantasy, Adventure",en,2021-04-07,7.2,stakes;hunted;champions,Mortal Kombat
"Action, Adventure, Fantasy, Science Fiction",en,2021-03-18,8.3,proportions;superman's;wayne,Zack Snyder's Justice League
"Science Fiction, Thriller",en,2021-12-17,5.8,land—a;away;boyfriend,Mother/Android
"Comedy, Drama",fr,1986-11-04,5.5,breaks;efforts;16-year-old,Exploits of a Young Don Juan
"Science Fiction, Adventure",en,2021-09-15,7.9,fear;people;precious,Dune
"Fantasy, Adventure, Comedy",ru,2021-01-01,7.1,beyond;set;journey,The Last Warrior: Root of Evil
"Horror",de,2022-02-09,5.1,dark;events;strange,The Privilege
"Horror",en,2021-06-11,6.4,ritual;teenagers;could,Queen of Spades
"Drama, Horror, Mystery",en,2021-10-28,6.4,could;small-town;harbouring,Antlers
"Action, Thriller",en,2021-11-05,6.4,relentless;island;brother’s,Dangerous
"Romance, Drama",en,2021-09-01,7.2,tessa;able;should,After We Fell
"Adventure, Action, Thriller",en,2021-09-29,7.5,old;onto;turns,No Time to Die
"Action, Crime, Thriller",hi,2021-11-05,5.8,pulls;major;faithful,Sooryavanshi
"Science Fiction, Drama, Adventure",en,2021-11-04,8.1,dog;earth;learns,Finch
"Thriller, Horror",es,2021-07-23,5.4,wake;abdomens;attached,Two
