Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
Action, Adventure, Science Fiction,en,2021-12-15,8.3,truly;parker;unmasked,Spider-Man: No Way Home
Crime, Mystery, Thriller,en,2022-03-01,8.1,city;crime;facing,The Batman
Thriller,en,2022-02-25,6.3,belonging;rest;identify,No Exit
Animation, Comedy, Family, Fantasy,en,2021-11-24,7.7,madrigals;madrigal;power,Encanto
Action, Adventure, Thriller, War,en,2021-12-22,7.0,worst;tyrants;criminal,The King's Man
Action, Crime, Thriller,en,2022-01-07,6.6,worth;million;house,The Commando
Horror, Mystery, Thriller,en,2022-01-12,6.8,woodsboro;secrets;teenagers,Scream
Thriller,en,2022-02-10,6.3,report;violent;thing,Kimi
Action, Crime, Fantasy,en,2022-02-17,5.3,revenge;mission;bangkok,Fistful of Vengeance
Science Fiction,en,2021-11-03,7.2,thousands;shadows;mankind’s,Eternals
Action, Crime, Thriller,en,2022-02-18,5.9,police;ruthless;breslin,Pursuit
Animation, Action, Fantasy, Adventure,ja,2021-08-06,7.3,heroes-in-training;singularity;hero,My Hero Academia: World Heroes' Mission
Action, Thriller, Crime,fr,2022-02-25,5.9,accident;control;starts,Restless
Crime, Drama, Thriller,en,2021-12-02,7.1,psychiatrist;few;people,Nightmare Alley
Animation, Comedy, Adventure, Family,en,2022-01-28,7.1,eddie;possum;crash,The Ice Age Adventures of Buck Wild
Animation, Family, Fantasy, Comedy, Adventure,en,2022-02-25,7.0,invention;bodies;pals,Hotel Transylvania: Transformania
Horror,en,2022-02-18,5.1,influencers;leatherface;wears,Texas Chainsaw Massacre
Thriller,en,2022-01-28,4.6,romantic;couple;away,The Requin
Action, Comedy, Crime,hi,2022-02-04,6.0,clock;ends;races,Looop Lapeta
Action, Comedy, Crime, Thriller,en,2021-11-04,6.8,telling;notice;wanted,Red Notice
Animation, Comedy, Family, Music,en,2021-12-01,8.2,cast;city;idea,Sing 2
Horror,en,2022-01-03,5.4,innocent;vintage;opened,The Jack in the Box: Awakening
Science Fiction, Action, Adventure,en,2021-09-30,7.1,brock;enemy;alter,Venom: Let There Be Carnage
Science Fiction, Action, Adventure,en,2021-12-16,6.8,neo's;inside;turn,The Matrix Resurrections
Horror, Action, Science Fiction,en,2021-11-24,6.1,evil;truth;umbrella,Resident Evil: Welcome to Raccoon City
Action, Thriller,en,2021-10-19,6.3,commander;aside;wife,Last Man Down
Action, Thriller, Crime, Drama,en,2022-01-07,5.4,taken;georgia;contend,American Siege
Action, Adventure,en,2022-02-10,7.1,drake;may;“the,Uncharted
Animation, Action, Adventure, Fantasy,ja,2020-10-16,8.4,train;scared;defeat,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train
Fantasy, Comedy, Adventure,en,2021-11-11,7.7,legacy;behind;secret,Ghostbusters: Afterlife
Action, Thriller,en,2022-01-05,6.1,deadly;female;agencies,The 355
Action, Adventure, Fantasy,en,2021-09-01,7.7,drawn;ten;confront,Shang-Chi and the Legend of the Ten Rings
Romance, Comedy, Music,en,2022-02-09,6.9,marry;instead;married,Marry Me
Horror,en,2022-01-21,5.8,wildlife;uncover;threatens,The Hunting
Drama, Romance, Crime,en,2021-12-08,7.4,tragedy;build;toward,West Side Story
Romance, Drama,es,2022-02-04,7.8,raquel's;something;crush,Through My Window
Animation, Fantasy,ja,2021-07-02,8.0,finally;races;rebels,The Seven Deadly Sins: Cursed by Light
Action,en,2021-11-05,6.8,island;off;transport,One Shot
Animation, Comedy, Family, Western,en,2022-01-24,7.1,jerry’s;three;varmints,Tom and Jerry: Cowboy Up!
Drama, History, Adventure,ru,2020-10-15,6.2,shocking;sacrifice;could,Chernobyl: Abyss
Western, Action,en,2022-02-25,6.8,outlaw;thorn’s;want,Desperate Riders
Family, Adventure, Comedy, Fantasy,en,2021-11-10,7.3,attention;emily;company,Clifford the Big Red Dog
Comedy,en,2022-02-25,6.7,any;hallelujer;madea's,Tyler Perry's A Madea Homecoming
Animation, Comedy, Adventure, Family,en,2021-07-01,7.6,adults;tim;again,The Boss Baby: Family Business
Animation, Family, Comedy, Fantasy,en,2022-03-10,8.6,thirteen-year-old;teenager;mei,Turning Red
Thriller, Mystery, Drama,en,2022-01-13,4.8,solve;every;motive,Brazen
Animation, Drama, Comedy, Horror,en,2022-01-14,7.1,same;house;comedy,The House
Action, Thriller,en,2022-02-10,5.1,specializes;whose;echelons,Blacklight
Animation, Science Fiction, Family, Comedy,en,2021-10-15,8.1,best;quite;digitally,Ron's Gone Wrong
Comedy, Action, Adventure, Science Fiction,en,2021-08-11,7.7,free;called;offline,Free Guy
Comedy, Crime,en,2021-05-26,8.2,estella;haute;von,Cruella
